"Nazwa";"Marka";"Kategorie (x,y,z...)";"Cena zawiera podatek. (brutto)";"Podsumowanie";"Opis";"Adresy URL zdjęcia (x,y,z...)";"Ilość"
"Core i7-12700F";"Intel";"Procesory Intel Core i7";1689;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 2.1 GHz<br/>Liczba rdzeni: 12 rdzeni<br/>Cache: 25 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 2.1 GHz<br/>Liczba rdzeni: 12 rdzeni<br/>Cache: 25 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_12_23_9_43_8_505_00.jpg";100
"Core i9-10900K";"Intel";"Procesory Intel Core i9";2099;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.7 GHz<br/>Liczba rdzeni: 10 rdzeni<br/>Cache: 20 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.7 GHz<br/>Liczba rdzeni: 10 rdzeni<br/>Cache: 20 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2020_5_6_14_49_13_604_01.jpg";100
"Core i7-12700";"Intel";"Procesory Intel Core i7";1699;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 2.1 GHz<br/>Liczba rdzeni: 12 rdzeni<br/>Cache: 25 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 2.1 GHz<br/>Liczba rdzeni: 12 rdzeni<br/>Cache: 25 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_12_23_9_40_42_356_00.jpg";100
"Core i5-11600K";"Intel";"Procesory Intel Core i5";1269;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.9 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 12 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.9 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 12 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_9_24_32_816_00.jpg";100
"Core i5-12500";"Intel";"Procesory Intel Core i5";1229;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.0 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 18 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.0 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 18 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_12_23_9_30_34_58_00.jpg";100
"Core i5-10600K";"Intel";"Procesory Intel Core i5";1159;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 4.1 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 12 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 4.1 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 12 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2020_5_6_15_39_37_609_00.jpg";100
"Core i3-12100";"Intel";"Procesory Intel Core i3";639;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.3 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 12 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.3 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 12 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_12_23_9_28_17_439_00.jpg";100
"Core i5-12400";"Intel";"Procesory Intel Core i5";979;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 2.5 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 18 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 2.5 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 18 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_12_23_9_30_34_58_00.jpg";100
"Ryzen 3 3200G";"AMD";"Procesory AMD Ryzen 3";479;"Gniazdo procesora: Socket AM4<br/>Taktowanie: 3.6 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 6 MB<br/>Dodatkowe informacje: Wersja BOX";"Gniazdo procesora: Socket AM4<br/>Taktowanie: 3.6 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 6 MB<br/>Dodatkowe informacje: Wersja BOX";"http://127.0.0.1/product_images/pr_2019_7_19_10_21_7_743_00.jpg";100
"Core i9-12900KF";"Intel";"Procesory Intel Core i9";2599;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.2 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 30 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.2 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 30 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_10_26_7_26_53_242_00.jpg";100
"Core i3-10105F";"Intel";"Procesory Intel Core i3";419;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.7 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 6 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.7 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 6 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_14_49_52_428_00.jpg";100
"Core i7-11700K";"Intel";"Procesory Intel Core i7";1599;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.6 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.6 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_10_17_21_931_01.jpg";100
"Core i3-10100";"Intel";"Procesory Intel Core i3";489;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.6 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 6 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.6 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 6 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2020_5_6_16_8_32_905_00.jpg";100
"Core i9-11900KF";"Intel";"Procesory Intel Core i9";1899;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.5 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.5 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_10_49_41_312_00.jpg";100
"Core i9-11900K";"Intel";"Procesory Intel Core i9";1949;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.5 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.5 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_10_38_31_487_02.jpg";100
"Core i7-11700F ";"Intel";"Procesory Intel Core i7";1319;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 2.5 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 2.5 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_10_33_19_864_00.jpg";100
"Core i7-10700K";"Intel";"Procesory Intel Core i7";1799;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.8 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.8 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2020_5_6_15_10_34_543_00.jpg";100
"Ryzen 9 7950X";"AMD";"Procesory AMD Ryzen 9";3199;"Gniazdo procesora: Socket AM5<br/>Taktowanie: 4.5 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 80 MB<br/>Dodatkowe informacje: Obsługa pamięci ECC, Wersja BOX";"Gniazdo procesora: Socket AM5<br/>Taktowanie: 4.5 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 80 MB<br/>Dodatkowe informacje: Obsługa pamięci ECC, Wersja BOX";"http://127.0.0.1/product_images/pr_2022_9_14_11_6_31_100_00.jpg";100
"Core i9-12900K";"Intel";"Procesory Intel Core i9";2699;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.2 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 30 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.2 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 30 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_10_26_7_49_18_782_00.jpg";100
"Core i3-10105";"Intel";"Procesory Intel Core i3";549;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.7 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 6 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.7 GHz<br/>Liczba rdzeni: 4 rdzenie<br/>Cache: 6 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_14_49_52_428_00.jpg";100
"Pentium Gold G6400";"Intel";"Procesory Intel Pentium";339;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 4.0 GHz<br/>Liczba rdzeni: 2 rdzenie<br/>Cache: 4 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 4.0 GHz<br/>Liczba rdzeni: 2 rdzenie<br/>Cache: 4 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2020_7_13_18_59_28_986_00.jpg";100
"Core i5-11600";"Intel";"Procesory Intel Core i5";1299;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 2.8 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 12 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 2.8 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 12 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_9_54_57_565_00.jpg";100
"Pentium G6605";"Intel";"Procesory Intel Pentium";499;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 4.3 GHz<br/>Liczba rdzeni: 2 rdzenie<br/>Cache: 4 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 4.3 GHz<br/>Liczba rdzeni: 2 rdzenie<br/>Cache: 4 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™";"http://127.0.0.1/product_images/pr_2021_3_15_14_32_48_852_00.jpg";100
"Ryzen 9 5950X";"AMD";"Procesory AMD Ryzen 9";2649;"Gniazdo procesora: Socket AM4<br/>Taktowanie: 3.4 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 72 MB<br/>Dodatkowe informacje: Wersja BOX";"Gniazdo procesora: Socket AM4<br/>Taktowanie: 3.4 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 72 MB<br/>Dodatkowe informacje: Wersja BOX";"http://127.0.0.1/product_images/pr_2020_10_9_14_6_57_190_00.jpg";100
"Core i5-10600";"Intel";"Procesory Intel Core i5";1199;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.3 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 12 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.3 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 12 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2020_5_6_15_43_2_54_00.jpg";100
"Core i7-10700KF";"Intel";"Procesory Intel Core i7";1699;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.8 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 3.8 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2020_5_6_15_10_17_543_01.jpg";100
"Core i9-12900KS";"Intel";"Procesory Intel Core i9";3449;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.4 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 30 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.4 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 30 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2022_3_28_11_51_57_833_00.jpg";100
"Pentium G7400";"Intel";"Procesory Intel Pentium";479;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.7 GHz<br/>Liczba rdzeni: 2 rdzenie<br/>Cache: 6 MB<br/>Dodatkowe informacje: Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.7 GHz<br/>Liczba rdzeni: 2 rdzenie<br/>Cache: 6 MB<br/>Dodatkowe informacje: Wersja BOX";"http://127.0.0.1/product_images/pr_2022_1_4_14_54_34_915_00.jpg";100
"Core i5-12600";"Intel";"Procesory Intel Core i5";1349;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.3 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 18 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 3.3 GHz<br/>Liczba rdzeni: 6 rdzeni<br/>Cache: 18 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_12_23_9_30_34_58_00.jpg";100
"Core i9-12900F";"Intel";"Procesory Intel Core i9";2679;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 2.4 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 30 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 2.4 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 30 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_12_23_9_45_59_587_00.jpg";100
"Core i9-12900";"Intel";"Procesory Intel Core i9";2799;"Gniazdo procesora: Socket 1700<br/>Taktowanie: 2.4 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 30 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1700<br/>Taktowanie: 2.4 GHz<br/>Liczba rdzeni: 16 rdzeni<br/>Cache: 30 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_12_23_9_45_10_282_00.jpg";100
"Core i9-11900F";"Intel";"Procesory Intel Core i9";2199;"Gniazdo procesora: Socket 1200<br/>Taktowanie: 2.5 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"Gniazdo procesora: Socket 1200<br/>Taktowanie: 2.5 GHz<br/>Liczba rdzeni: 8 rdzeni<br/>Cache: 16 MB<br/>Dodatkowe informacje: Obsługa pamięci Intel® Optane™, Wersja BOX";"http://127.0.0.1/product_images/pr_2021_3_15_10_55_56_518_00.jpg";100
